Total: 69, Complete: 52, Success: 51, Failed: 1, Pending: 17, Success Rate: 98%, Rate: 6 req/sec
Total: 140, Complete: 126, Success: 122, Failed: 4, Pending: 14, Success Rate: 96%, Rate: 7 req/sec
Total: 223, Complete: 203, Success: 197, Failed: 6, Pending: 20, Success Rate: 97%, Rate: 7 req/sec
Total: 306, Complete: 283, Success: 277, Failed: 6, Pending: 23, Success Rate: 97%, Rate: 7 req/sec
Total: 373, Complete: 355, Success: 344, Failed: 11, Pending: 18, Success Rate: 96%, Rate: 7 req/sec
Total: 441, Complete: 425, Success: 408, Failed: 17, Pending: 16, Success Rate: 96%, Rate: 7 req/sec
Total: 518, Complete: 500, Success: 473, Failed: 27, Pending: 18, Success Rate: 94%, Rate: 7 req/sec
Total: 597, Complete: 579, Success: 545, Failed: 34, Pending: 18, Success Rate: 94%, Rate: 7 req/sec
Total: 672, Complete: 654, Success: 614, Failed: 40, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 753, Complete: 733, Success: 691, Failed: 42, Pending: 20, Success Rate: 94%, Rate: 7 req/sec
Total: 831, Complete: 815, Success: 766, Failed: 49, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 908, Complete: 890, Success: 836, Failed: 54, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 964, Complete: 939, Success: 882, Failed: 57, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 1038, Complete: 1024, Success: 960, Failed: 64, Pending: 14, Success Rate: 93%, Rate: 7 req/sec
Total: 1115, Complete: 1098, Success: 1029, Failed: 69, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 1190, Complete: 1176, Success: 1105, Failed: 71, Pending: 14, Success Rate: 93%, Rate: 7 req/sec
Total: 1269, Complete: 1257, Success: 1179, Failed: 78, Pending: 12, Success Rate: 93%, Rate: 7 req/sec
Total: 1342, Complete: 1327, Success: 1246, Failed: 81, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 1428, Complete: 1405, Success: 1320, Failed: 85, Pending: 23, Success Rate: 93%, Rate: 7 req/sec
Total: 1502, Complete: 1487, Success: 1393, Failed: 94, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 1595, Complete: 1575, Success: 1474, Failed: 101, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 1668, Complete: 1653, Success: 1546, Failed: 107, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 1755, Complete: 1735, Success: 1626, Failed: 109, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 1826, Complete: 1807, Success: 1690, Failed: 117, Pending: 19, Success Rate: 93%, Rate: 7 req/sec
Total: 1890, Complete: 1873, Success: 1753, Failed: 120, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 1948, Complete: 1924, Success: 1794, Failed: 130, Pending: 24, Success Rate: 93%, Rate: 7 req/sec
Total: 2005, Complete: 1990, Success: 1856, Failed: 134, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 2072, Complete: 2059, Success: 1919, Failed: 140, Pending: 13, Success Rate: 93%, Rate: 7 req/sec
Total: 2146, Complete: 2132, Success: 1986, Failed: 146, Pending: 14, Success Rate: 93%, Rate: 7 req/sec
Total: 2232, Complete: 2214, Success: 2065, Failed: 149, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 2315, Complete: 2290, Success: 2138, Failed: 152, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 2339, Complete: 2326, Success: 2170, Failed: 156, Pending: 13, Success Rate: 93%, Rate: 7 req/sec
Total: 2424, Complete: 2408, Success: 2244, Failed: 164, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 2475, Complete: 2459, Success: 2292, Failed: 167, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 2552, Complete: 2536, Success: 2363, Failed: 173, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 2629, Complete: 2612, Success: 2436, Failed: 176, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 2688, Complete: 2663, Success: 2482, Failed: 181, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 2757, Complete: 2741, Success: 2555, Failed: 186, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 2841, Complete: 2829, Success: 2634, Failed: 195, Pending: 12, Success Rate: 93%, Rate: 7 req/sec
Total: 2925, Complete: 2910, Success: 2711, Failed: 199, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 3012, Complete: 2996, Success: 2795, Failed: 201, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 3095, Complete: 3077, Success: 2873, Failed: 204, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 3176, Complete: 3159, Success: 2949, Failed: 210, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 3252, Complete: 3239, Success: 3027, Failed: 212, Pending: 13, Success Rate: 93%, Rate: 7 req/sec
Total: 3322, Complete: 3307, Success: 3088, Failed: 219, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 3397, Complete: 3380, Success: 3152, Failed: 228, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 3442, Complete: 3417, Success: 3184, Failed: 233, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 3466, Complete: 3446, Success: 3210, Failed: 236, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 3541, Complete: 3524, Success: 3285, Failed: 239, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 3564, Complete: 3539, Success: 3299, Failed: 240, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 3565, Complete: 3540, Success: 3299, Failed: 241, Pending: 25, Success Rate: 93%, Rate: 6 req/sec
Total: 3624, Complete: 3605, Success: 3361, Failed: 244, Pending: 19, Success Rate: 93%, Rate: 6 req/sec
Total: 3698, Complete: 3682, Success: 3430, Failed: 252, Pending: 16, Success Rate: 93%, Rate: 6 req/sec
Total: 3781, Complete: 3763, Success: 3510, Failed: 253, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 3840, Complete: 3824, Success: 3568, Failed: 256, Pending: 16, Success Rate: 93%, Rate: 6 req/sec
Total: 3924, Complete: 3907, Success: 3647, Failed: 260, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
